Period,Employee ID,First Name,Last Name,Social Security Number,Hourly Rate,Number of hours worked this period,Gross pay,Taxes withheld (20% of gross),Take home pay,Vacation earned,Vacation used
1/1/2015-1/14/2015,90234,Sam,Jones,90234,30.44,40,1217.6,243.52,974.08,1,0
1/15/2015-1/29/2015,90234,Sam,Jones,90234,30.44,40,1217.6,243.52,974.08,1,0
1/30/2015-2/13/2015,90234,Sam,Jones,90234,55.44,40,1217.6,243.52,974.08,1,0
2/14/2015-2/28/2015,90234,Sam,Jones,90234,55.44,40,2217.6,443.52,1774.08,1,0
1/1/2015-1/14/2015,69011,Martha,Hendricks,69011,30.44,40,1217.6,243.52,974.08,1,0
1/15/2015-1/29/2015,69011,Martha,Hendricks,69011,30.44,40,1217.6,243.52,974.08,1,0
1/30/2015-2/13/2015,69011,Martha,Hendricks,69011,55.44,40,1217.6,243.52,974.08,1,0
2/14/2015-2/28/2015,69011,Martha,Hendricks,69011,55.44,40,2217.6,443.52,1774.08,1,0
1/1/2015-1/14/2015,79912,John,Hendricks,79912,30.44,34,1034.96,206.992,827.968,1,0
1/15/2015-1/29/2015,79912,John,Hendricks,79912,30.44,21,639.24,127.848,511.392,1,0
1/30/2015-2/13/2015,79912,John,Hendricks,79912,55.44,33,1004.52,200.904,803.616,1,0
2/14/2015-2/28/2015,79912,John,Hendricks,79912,55.44,50.5,2799.72,559.944,2239.776,1,0
